Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Owner,Regarding,Start Date,Due Date Year,Due Date Month,Due Date Day,Due Date Hour,Due Date Minute,Due Date Second,Due Date DayOfWeek,Start Date Year,Start Date Month,Start Date Day,Start Date Hour,Start Date Minute,Start Date Second,Start Date DayOfWeek,Actual Start Date Year,Actual Start Date Month,Actual Start Date Day,Actual Start Date Hour,Actual Start Date Minute,Actual Start Date Second,Actual Start Date DayOfWeek,Actual End Date Year,Actual End Date Month,Actual End Date Day,Actual End Date Hour,Actual End Date Minute,Actual End Date Second,Actual End Date DayOfWeek
Disc Brake Service,Service Activity,Open,Low,6/11/2007,,,,First name Last name,6/12/2007,Disc Brake Service,,,First name Last name,Mathew Pereira,Disc brake servicing required,,0,0,22,22,0,0,6,0,0,21,21,0,0,5,,,,,,,,,,,,,,
Hydraulic Disk Brake Pad Replacement and Caliper Centering,Service Activity,Scheduled,Normal,6/11/2007,,,,First name Last name,6/12/2007,Hydraulic Disk Brake Pad Replacement and Caliper Centering,,,First name Last name,Mathew Pereira,Disc brake pads worn out,,0,0,22,22,0,0,6,0,0,21,21,0,0,5,,,,,,,,,,,,,,
Speedometer Installation,Service Activity,Canceled,Normal,6/17/2007,,,,First name Last name,6/18/2007,Speedometer Installation,,,First name Last name,Chris Perry,Speedometers required for racing bike models,,0,0,21,19,0,0,5,0,0,21,17,0,0,5,,,,,,,,,,,,,,
Complete overhaul and reconditioning,Service Activity,Scheduled,Normal,6/17/2007,,,,First name Last name,6/18/2007,Complete overhaul and reconditioning,,,First name Last name,Chris Perry,Seat cushions missing,,0,0,21,19,0,0,5,0,0,21,17,0,0,5,,,,,,,,,,,,,,
Repair gear system,Service Activity,Scheduled,Normal,6/22/2007,,,,First name Last name,6/23/2007,Repair gear system,,,First name Last name,Ben Burton,Gear system not working properly,,0,0,21,17,0,0,1,0,0,21,15,0,0,1,,,,,,,,,,,,,,
Wheel alignment,Service Activity,Open,Normal,6/22/2007,,,,First name Last name,6/23/2007,Wheel alignment,,,First name Last name,Ben Burton,Wheel alignment problem,,0,0,21,17,0,0,1,0,0,21,15,0,0,1,,,,,,,,,,,,,,
Replacing the main pulley,Service Activity,Open,High,6/22/2007,,,,First name Last name,6/23/2007,Replacing the main pulley,,,First name Last name,Ben Burton,Main pulley system malfunction,,0,0,14,21,30,0,4,0,0,14,19,30,0,4,,,,,,,,,,,,,,
Install missing top brackets,Service Activity,Open,High,6/22/2007,,,,First name Last name,6/23/2007,Install missing top brackets,,,First name Last name,Ben Burton,Top bracket missing in shipment,,0,0,14,21,30,0,4,0,0,14,19,30,0,4,,,,,,,,,,,,,,
Pedal Repair and Replacement,Service Activity,Scheduled,High,6/26/2007,,,,First name Last name,6/26/2007,Pedal Repair and Replacement,,,First name Last name,Ben Burton,,,0,0,14,22,0,0,1,0,0,14,16,0,0,1,,,,,,,,,,,,,,
Speedometer Installation,Service Activity,Scheduled,Normal,6/26/2007,,,,First name Last name,6/26/2007,Speedometer Installation,,,First name Last name,Ben Burton,,,0,0,14,22,0,0,1,0,0,14,16,0,0,1,,,,,,,,,,,,,,
