Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Owner,Regarding,Start Date,Due Date year,Due Date month,Due Date day,Due Date hour,Due Date min,Due Date second,Start Date year,Start Date month,Start Date day,Start Date hour,Start Date min,Start Date second
Pain admitted by sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,0 minutes,First name Last name,Jose Curry,"Will expand their accessories to include water bottles, caps, lights, and locks.",,0,-3,6,12,0,0,0,-3,6,12,0,0
Sponsor has a buying vision,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Jose Curry,"Will expand their accessories to include water bottles, caps, lights, and locks.",,0,-2,4,7,0,0,0,-2,4,7,0,0
Sponsor agrees to explore,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor agrees to conduct internal selling within the organization,,0 minutes,First name Last name,Jose Curry,"Will expand their accessories to include water bottles, caps, lights, and locks.",,0,-3,-24,12,0,0,0,-3,-24,12,0,0
Access to power negotiated,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,0 minutes,First name Last name,Jose Curry,"Will expand their accessories to include water bottles, caps, lights, and locks.",,0,-1,-10,12,0,0,0,-1,-10,12,0,0
Agree to above in Sponsor letter,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,0 minutes,First name Last name,Jose Curry,"Will expand their accessories to include water bottles, caps, lights, and locks.",,0,-3,6,12,0,0,0,-3,6,12,0,0
Pain admitted by sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,0 minutes,First name Last name,Jose Curry,69 Lower level touring bikes - followup,,-1,7,30,12,0,0,-1,7,30,12,0,0
Sponsor has a buying vision,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Jose Curry,69 Lower level touring bikes - followup,,0,-2,30,12,0,0,0,-2,30,12,0,0
Sponsor agrees to explore,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor agrees to conduct internal selling within the organization,,0 minutes,First name Last name,Jose Curry,69 Lower level touring bikes - followup,,0,-1,25,12,0,0,0,-1,25,12,0,0
Access to power negotiated,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,0 minutes,First name Last name,Jose Curry,69 Lower level touring bikes - followup,,0,0,-8,12,0,0,0,0,-8,12,0,0
Agree to above in Sponsor letter,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,0 minutes,First name Last name,Jose Curry,69 Lower level touring bikes - followup,,0,-1,15,12,0,0,0,-1,15,12,0,0
