Full Name,Business Phone,Address 1: Address Type,Address 1: City,Address 1: Country/Region,Address 1: County,Address 1: Fax,Address 1: Freight Terms,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Phone,Address 1: Post Office Box,Address 1: Primary Contact Name,Address 1: Shipping Method,Address 1: State/Province,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Freight Terms,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Primary Contact Name,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Aging 30,Aging 60,Aging 90,Anniversary,Annual Income,Assistant,Assistant Phone,Backoffice Customer,Birthday,Childrens Names,Created By,Created On,Credit Hold,Credit Limit,Customer Size,Department,Description,Do not allow Bulk E-mails,Do not allow Bulk Mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,Education,E-mail,E-mail Address 2,E-mail Address 3,Employee,Fax,First Name,FTP Site,Gender,Government,Has Children,Home Phone,Job Title,Last Date Included in Campaign,Last Name,Lead Source,Manager,Manager Phone,Marital Status,Middle Name,Mobile Phone,Modified By,Modified On,Nickname,No. of Children,Originating Lead,Owner,Pager,Parent Customer,Payment Terms,Preferred Day,Preferred Facility/Equipment,Preferred Method of Contact,Preferred Service,Preferred Time,Preferred User,Price List,Relationship Type,Role,Salutation,Send Marketing Materials,Shipping Method,Spouse Name,Status,Status Reason,Suffix,Telephone 3,Territory,Web Site,Yomi First Name,Yomi Full Name,Yomi Last Name,Yomi Middle Name
Adrian Dumitrascu,555-0156,,Redmond,U.S.,,,,,,,,,,,WA,249 Alexander Pl.,,,,,,,86372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Do Not Allow,Allow,Allow,,someone@example.com,,,,,Adrian,,Male,,,,Purchasing Assistant,,Dumitrascu,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Active Cycling,,,,,,,,,,,Sr.,Yes,,,Active,Active,,,,,,,,
Alan Brewer,555-0123,,Redmond,U.S.,,,,,,,,,,,WA,6097 Mt. Mckinley Ct.,,,,,,,19692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Alan,,Male,,,,Purchasing Assistant,,Brewer,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Lots of Bikes Storehouse,,,,Any,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Alan Waxman,555-0189,,Seattle,U.S.,,,,,,,,,,,WA,136 Balboa Court,,,,,,,44912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Alan,,Male,,,,Purchasing Assistant,,Waxman,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Alex Hankin,555-0104,,Carnation,U.S.,,,,,,,,,,,WA,390 Ridgewood Ct.,,,,,,,16105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Alex,,Male,,,,Owner,,Hankin,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,Maintenance and Repair for Bicycles,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Alex Litton,555-0135,,Seattle,U.S.,,,,,,,,,,,WA,1102 Ravenwood,,,,,,,29617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Alex,,Male,,,,Manager,,Litton,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Alice Ciccu,555-0135,,Seattle,U.S.,,,,,,,,,,,WA,6843 San Simeon Dr.,,,,,,,51307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Alice,,Male,,,,Manager,,Ciccu,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Allison Brown,555-0127,,Monroe,U.S.,,,,,,,,,,,WA,2275 Vallejo,,,,,,,60112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Allison,,Male,,,,Assistant Manager,,Brown,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Basic Bike Company,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Alvin Torre,555-0165,,Redmond,U.S.,,,,,,,,,,,WA,8000 Kiska Court,,,,,,,34855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Alvin,,Male,,,,Owner,,Torre,,,,,J.,,First name Last name,6/26/2007,,,,Jose Curry,,The Cycle Store,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Anders Madsen,555-0127,,Gold Bar,U.S.,,,,,,,,,,,WA,9605 Pheasant Circle,,,,,,,47352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Anders,,Male,,,,Purchase assistant,,Madsen,,,,,,,First name Last name,6/26/2007,,,,Alan Jackson,,Solid Bike Parts,,,,Any,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Ann Beebe,555-0123,,Carnation,U.S.,,,,,,,,,,,WA,9666 Northridge Ct.,,,,,,,24525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Ann,,Female,,,,Owner,,Beebe,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,Major Sporting Goods,,,,,,,,,,,Ms.,Yes,,,Active,Active,,,,,,,,
