Full Name,Business Unit,Title,Main Phone,Address 1: County,Address 1: Fax,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 2: County,Address 2: Fax,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,City,Country/Region,Created By,Created On,Domain Logon Name,E-mail 2,Employee,First Name,Home Phone,Job Title,Last Name,Manager,Middle Name,Mobile Alert E-mail,Mobile Phone,Modified By,Modified On,Nickname,Organization,Other City,Other Country/Region,Other Phone,Other State/Province,Other Street 1,Other Street 2,Other Street 3,Other ZIP/Postal Code,Pager,Photo URL,Preferred Address,Preferred E-mail,Preferred Phone,Primary E-mail,Restricted Access Mode,Salutation,Site,Skills,State/Province,Street 1,Street 2,Street 3,Territory,ZIP/Postal Code
Alan Jackson,EasternRegion,Eastern region channel sales Representative,555-1006,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,V3SAMPLEDATADOM\alan,,,Alan,555-1018,,Jackson,,,jackson123mob@adventure-works.com,555-1030,First name Last name,6/26/2007,,{38027F4A-36CE-4D80-BC07-7474F58C0E72},,,,,,,,,,,Mailing Address,Default Value,Main Phone,jackson123@adventure-works.com,No,Mr.,,,,,,,Eastern,
Ben Burton,CentralRegion,Eastern region Bike service technician,555-1009,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,V3SAMPLEDATADOM\ben,,,Ben,555-1021,,Burton,,,burton123@adventure-works.commob@adventure-works.com,555-1033,First name Last name,6/26/2007,,{38027F4A-36CE-4D80-BC07-7474F58C0E72},,,,,,,,,,,Mailing Address,Default Value,Main Phone,burton123@adventure-works.com,No,Mr.,Eastern and Central Region Service Center,,,,,,Eastern,
Chris Perry,EasternRegion,Central region Bike service technician,555-1010,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,V3SAMPLEDATADOM\chris,,,Chris,555-1022,,Perry,,,perry123mob@adventure-works.com,555-1034,First name Last name,6/26/2007,,{38027F4A-36CE-4D80-BC07-7474F58C0E72},,,,,,,,,,,Mailing Address,Default Value,Main Phone,perry123@adventure-works.com,No,Mr.,Eastern and Central Region Service Center,,,,,,Central,
Connie Watson,CustomerSupport,Customer service Representative,555-1008,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,V3SAMPLEDATADOM\connie,,,Connie,555-1020,,Watson,,,watson123mob@adventure-works.com,555-1032,First name Last name,6/26/2007,,{38027F4A-36CE-4D80-BC07-7474F58C0E72},,,,,,,,,,,Mailing Address,Default Value,Main Phone,watson123@adventure-works.com,No,Ms,,,,,,,,
First name Last name,AdventureWorksCycle,,,,,,,,,,,,,,,,,,,,,6/22/2007,V3SAMPLEDATADOM\administrator,,,First name,,,Last name,,,,,First name Last name,6/26/2007,,{38027F4A-36CE-4D80-BC07-7474F58C0E72},,,,,,,,,,,,,,,No,,,,,,,,,
Gail Erickson,CentralRegion,Western Region Channel Sales Manager,555-1002,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,V3SAMPLEDATADOM\gail,,,Gail,555-1014,,Erickson,,,erickson123mob@adventure-works.com,555-1026,First name Last name,6/26/2007,,{38027F4A-36CE-4D80-BC07-7474F58C0E72},,,,,,,,,,,Mailing Address,Default Value,Main Phone,erickson123@adventure-works.com,No,Ms.,,,,,,,Western,
Jose Curry,CentralRegion,Central Region Channel Sales Representative,555-1001,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,V3SAMPLEDATADOM\jose,,,Jose,555-1013,,Curry,,,curry123mob@adventure-works.com,555-1025,First name Last name,6/26/2007,,{38027F4A-36CE-4D80-BC07-7474F58C0E72},,,,,,,,,,,Mailing Address,Default Value,Main Phone,curry123@adventure-works.com,No,Mr.,,,,,,,Central,
Judith Walker,EasternRegion,Western region Bike service manager,555-1012,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,V3SAMPLEDATADOM\judith,,,Judith,555-1024,,Walker,,,walker123mob@adventure-works.com,555-1036,First name Last name,6/26/2007,,{38027F4A-36CE-4D80-BC07-7474F58C0E72},,,,,,,,,,,Mailing Address,Default Value,Main Phone,walker123@adventure-works.com,No,Mr.,Western Region Service Center,,,,,,Eastern,
Mathew Pereira,WesternRegion,Western region Bike service technician,555-1011,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,V3SAMPLEDATADOM\mathew,,,Mathew,555-1023,,Pereira,,,pereira123mob@adventure-works.com,555-1035,First name Last name,6/26/2007,,{38027F4A-36CE-4D80-BC07-7474F58C0E72},,,,,,,,,,,Mailing Address,Default Value,Main Phone,pereira123@adventure-works.com,No,Mr.,Eastern and Central Region Service Center,,,,,,Western,
Patricia San Juan,ChannelMarketing,Retail Marketing Manager,555-1005,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,V3SAMPLEDATADOM\patricia,,,Patricia,555-1017,,San Juan,,,sanjuan123mob@adventure-works.com,555-1029,First name Last name,6/26/2007,,{38027F4A-36CE-4D80-BC07-7474F58C0E72},,,,,,,,,,,Mailing Address,Default Value,Main Phone,sanjuan123@adventure-works.com,No,Ms.,,,,,,,,
