Name,Company Name,Business Phone,Address 1: Address Type,Address 1: County,Address 1: Fax,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Shipping Method,Address 1: Telephone 1,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Annual Revenue,City,Country/Region,Created By,Created On,Customer,Description,Do not allow Bulk E-mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Est. Close Date,Est. Value,Fax,First Name,Home Phone,Industry,Job Title,Last Date Included in Campaign,Last Name,Lead Source,Middle Name,Mobile Phone,Modified By,Modified On,No. of Employees,Other Phone,Owner,Pager,Preferred Method of Contact,Priority,Rating,Sales Stage,Salutation,Send Marketing Materials,SIC Code,Source Campaign,State/Province,Status,Status Reason,Street 1,Street 2,Street 3,Topic,Web Site,Yomi First Name,Yomi Full Name,Yomi Last Name,Yomi Middle Name,ZIP/Postal Code,Est. Close Date Year,Est. Close Date Month,Est. Close Date Day,Est. Close Date Hour,Est. Close Date Minute,Est. Close Date Second
Yvonne McKay,Practical Bike Supply Company,,Default Value,,,,,,,,555-0146,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000.00 ",La Vergne,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Do Not Allow,Allow,someone@example.com,,,,"44,000.00",,Yvonne,,Entertainment Retail,Purchasing Manager,,McKay,Other,,,First name Last name,6/26/2007 11:50,25,,Alan Jackson,,Any,,Warm,,Ms.,Yes,,,TN,Open,New,789 Jones Blvd,,,New store opened this year - follow up,,,,,,57332,1,0,23,21,42,45
Willis Johnson,Eleventh Bike Store,,Default Value,,,,,,,,555-0192,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Renton,U.S.,First name Last name,6/26/2007 11:50,,36 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"1,200.00",,Willis,,Entertainment Retail,Owner,,Johnson,Advertisement,,,First name Last name,6/26/2007 11:50,18,,Patricia San Juan,,Any,,Hot,,Mr.,Yes,,,WA,Open,New,1 NE 4TH ST,,,Will be ordering about 36 bikes this year.,,,,,,20940,1,1,12,21,42,45
Wendy Kahn,Variety Bike Outlet,,Default Value,,,,,,,,555-0157,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Saint Louis,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"25,500.00",,Wendy,,Entertainment Retail,Owner,,Kahn,Web,Beth,,First name Last name,6/26/2007 11:50,6,,Patricia San Juan,,Phone,,Warm,,Ms.,Yes,,,MO,Open,New,890123 JEFFERSON BLVD,,,They have an on-line store only for mountain bikes,,,,,,83378,1,3,13,21,42,45
Wathalee Steuber,Sellers of Cycles,,Default Value,,,,,,,,555-0127,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Saint Louis,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"64,000.00",,Wathalee,,Entertainment Retail,Purchasing Manager,,Steuber,Other,R.,,First name Last name,6/26/2007 11:50,43,,Gail Erickson,,Any,,Hot,,Ms.,Yes,,,MO,Open,New,797 Roosevelt Ave NE,Ste 9,,Mailed an interest card back for road bikes,,,,,,83385,1,3,13,21,42,45
Virginia Miller,All Cycle Shop,,Default Value,,,,,,,,555-0129,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000.00 ",Saint Louis,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"23,000.00",,Virginia,,Entertainment Retail,Purchasing Manager,,Miller,Employee Referral,L.,,First name Last name,6/26/2007 11:50,27,,Gail Erickson,,E-mail,,Warm,,Ms.,Yes,,,MO,Open,New,10 Lindbergh Drive,Suite 567,,33 mountain bikes,,,,,,83373,0,10,29,21,42,45
Vassar Stern,Transport Bikes,,Default Value,,,,,,,,555-0109,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Wood Dale,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"64,000.00",,Vassar,,Entertainment Retail,Purchasing Manager,,Stern,Other,J.,,First name Last name,6/26/2007 11:50,44,,Gail Erickson,,Phone,,Hot,,Mr.,Yes,,,IL,Qualified,Qualified,8910 WOOD RD.,,,5 Road-150 or 250 bikes.,,,,,,80437,0,11,29,21,42,45
Twanna Evans,Vast Bike Sales and Rental,,Default Value,,,,,,,,555-0171,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Kendall,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"66,000.00",,Twanna,,Entertainment Retail,Purchasing Assistant,,Evans,Other,R.,,First name Last name,6/26/2007 11:50,70,,Gail Erickson,,E-mail,,Warm,,Ms.,Yes,,,FL,Qualified,Qualified,Rome Ave and 4th St.,,,Interested in 35 of the Road-350.,,,,,,43379,0,11,29,21,42,45
Teresa Atkinson,Extended Bike Sales,,Default Value,,,,,,,,555-0134,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Atlanta,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"66,000.00",,Teresa,,Entertainment Retail,Purchasing Assistant,,Atkinson,Other,,,First name Last name,6/26/2007 11:50,76,,Gail Erickson,,Any,,Warm,,Ms.,Yes,,,GA,Open,New,123 WEST PARK DRIVE,,,New store opened this year - follow up,,,,,,50582,1,0,23,21,42,45
Tammy Khan,Brown Bicycle Company,,Default Value,,,,,,,,555-0130,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Bellevue,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"22,000.00",,Tammy,,Entertainment Retail,Owner,,Khan,Other,J.,,First name Last name,6/26/2007 11:50,13,,Gail Erickson,,E-mail,,Warm,,Ms.,Yes,,,WA,Disqualified,Lost,5432 140TH AVE NW,,,New store opened this year - follow up,,,,,,20935,1,0,23,21,42,45
Syed Abbas,Next-Door Bike Store,,Default Value,,,,,,,,555-0126,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Salt Lake City,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"25,500.00",,Syed,,Entertainment Retail,Owner,,Abbas,Web,,,First name Last name,6/26/2007 11:50,13,,Alan Jackson,,Mail,,Warm,,Mr.,Yes,,,UT,Qualified,Qualified,1234 WEST 2700 SOUTH,,,13 Road or touring bikes.,,,,,,10436,1,1,12,21,42,45
